t,Va,Vb
-0.0162399989,2.5599999,2.6399999
-0.0162199996,2.5599999,2.48
-0.0161999986,2.5599999,2.6399999
-0.0161799993,2.48,2.24
-0.0161599983,2.3999999,2.5599999
-0.016139999,2.5599999,2.48
-0.0161199979,2.48,2.48
-0.0160999987,2.6399999,2.48
-0.0160799995,2.48,2.6399999
-0.0160599984,2.48,2.5599999
-0.0160399992,2.6399999,2.48
-0.0160199981,2.48,2.48
-0.0159999989,2.6399999,2.5599999
-0.0159799978,2.5599999,2.5599999
-0.0159599986,2.48,2.72000003
-0.0159399994,2.5599999,2.6399999
-0.0159199983,2.3199999,2.48
-0.0158999991,2.48,2.5599999
-0.015879998,2.3999999,2.5599999
-0.0158599988,2.3999999,2.48
-0.0158399995,2.5599999,2.6399999
-0.0158199985,2.48,2.24
-0.0157999992,2.6399999,2.6399999
-0.0157799982,2.3999999,2.48
-0.0157599989,2.3199999,2.6399999
-0.0157399978,2.48,2.6399999
-0.0157199986,2.3999999,2.48
-0.0156999994,2.5599999,2.79999995
-0.0156799983,2.3999999,2.24
-0.0156599991,2.5599999,2.72000003
-0.015639998,2.48,2.48
-0.0156199988,2.48,2.3199999
-0.0155999986,2.5599999,2.87999988
-0.0155799985,2.3999999,2.24
-0.0155599983,2.48,2.6399999
-0.0155399991,2.48,2.3999999
-0.015519999,2.48,2.5599999
-0.0154999988,2.48,2.3999999
-0.0154799987,2.48,2.3999999
-0.0154599985,2.6399999,2.72000003
-0.0154399984,2.3999999,2.6399999
-0.0154199991,2.48,2.3999999
-0.015399999,2.3999999,2.3999999
-0.0153799988,2.3999999,2.5599999
-0.0153599987,2.5599999,2.5599999
-0.0153399985,2.3999999,2.5599999
-0.0153199984,2.5599999,2.5599999
-0.0152999992,2.48,2.72000003
-0.015279999,2.3199999,2.3199999
-0.0152599989,2.48,2.48
-0.0152399987,2.3999999,2.48
-0.0152199985,2.48,2.48
-0.0151999984,2.48,2.79999995
-0.0151799992,2.3999999,2.24
-0.015159999,2.48,2.72000003
-0.0151399989,2.3999999,2.3999999
-0.0151199987,2.5599999,2.3999999
-0.0150999986,2.48,2.48
-0.0150799984,2.48,2.72000003
-0.0150599992,2.5599999,2.3999999
-0.015039999,2.48,2.3199999
-0.0150199989,2.48,2.6399999
-0.0149999987,-2.3199999,-4.31999969
-0.0149799986,-2.3999999,-3.91999984
-0.0149599984,-2.3199999,-3.51999998
-0.0149399992,-2.3999999,-3.27999997
-0.0149199991,-2.3199999,-2.87999988
-0.0148999989,-2.3999999,-2.6399999
-0.0148799988,-2.3999999,-2.79999995
-0.0148599986,-2.3999999,-2.48
