tiempo(s),A0(V),A1(V)
0.0371,0,0
0.0372,0,0
0.0373,0,0
0.0374,0,0
0.0375,0,0
0.0376,0,0
0.0377,0,0
0.0378,0,0
0.0379,0,0
0.038,0,0
0.0381,0,0
0.0382,0,0
0.0383,0,0
0.0384,0,0
0.0385,0,0
0.0386,0,0
0.0387,0,0
0.0388,0,0
0.0389,0,0
0.039,0,0
0.0391,0,0
0.0392,0,0
0.0393,0,0
0.0394,0,0
0.0395,0,0
0.0396,0,0
0.0397,0,0
0.0398,0,0
0.0399,0,0
0.04,0,0
0.0401,0,0
0.0402,0,0
0.0403,0,0
0.0404,0,0
0.0405,0,0
0.0406,0,0
0.0407,0,0
0.0408,0,0
0.0409,0,0
0.041,0,0
0.0411,0,0
0.0412,0,0
0.0413,0,0
0.0414,0,0
0.0415,0,0
0.0416,0,0
0.0417,0,0
0.0418,0,0
0.0419,0,0
0.042,0,0
0.0421,0,0
0.0422,0,0
0.0423,0,0
0.0424,0,0
0.0425,0,0
0.0426,0,0
0.0427,0,0
0.0428,0,0
0.0429,0,0
0.043,0,0
0.0431,0,0
0.0432,0,0
0.0433,0,0
0.0434,0,0
0.0435,0,0
0.0436,0,0
0.0437,0,0
0.0438,0,0
0.0439,0,0
0.044,0,0
0.0441,0,0
0.0442,0,0
0.0443,0,0
0.0444,2.449,2.444
0.0445,2.454,2.449
0.0446,2.449,2.454
0.0447,2.454,2.458
0.0448,2.454,2.439
0.0449,2.444,2.439
0.045,2.449,2.454
0.0451,2.454,2.463
0.0452,2.458,2.449
0.0453,2.454,2.439
0.0454,2.454,2.444
0.0455,2.458,2.454
0.0456,2.463,2.458
0.0457,2.468,2.458
0.0458,2.483,2.473
0.0459,2.488,2.493
0.046,2.493,2.502
0.0461,2.483,2.493
0.0462,2.468,2.468
0.0463,2.463,2.478
0.0464,2.444,2.463
0.0465,2.454,2.463
0.0466,2.463,2.419
0.0467,2.439,2.449
0.0468,2.458,2.458
0.0469,2.463,2.454
0.047,2.468,2.454
0.0471,2.488,2.483
0.0472,2.468,2.488
0.0473,2.493,2.488
0.0474,2.483,2.478
0.0475,2.463,2.463
0.0476,2.463,2.463
0.0477,2.483,2.468
0.0478,2.478,2.458
0.0479,2.468,2.439
0.048,2.434,2.414
